city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year,mpg_diff,engine_efficiency,engine_power_density,size_category,drivetrain_type,vehicle_age,fuel_efficiency_category,is_high_performance,is_luxury,is_electric,is_diesel,is_hybrid,is_automatic,is_manual,make_encoded,class_encoded,drive_encoded,fuel_type_encoded,transmission_encoded,size_category_encoded,drivetrain_type_encoded,city_mpg_scaled,combination_mpg_scaled,cylinders_scaled,displacement_scaled,highway_mpg_scaled,year_scaled,vehicle_age_scaled,engine_efficiency_scaled
21,small sport utility vehicle,22,4.0,2.4,awd,gas,25,kia,sorento awd,a,2016,4,9.128630705394192,0.5985037406483791,suv_small,all_wheel,8,medium,0,0,0,0,0,1,0,17,7,1,2,0,6,0,-0.056511180565791394,-0.2769286331029344,-0.7266130964452053,-0.414401440068745,-0.5287259997316814,-0.9486832980505138,0.9486832980505138,-0.06179979905632993
17,small sport utility vehicle,19,6.0,3.3,awd,gas,23,kia,sorento awd,a,2016,6,5.740181268882176,0.5490848585690515,suv_small,all_wheel,8,low,1,0,0,0,0,1,0,17,7,1,2,0,6,0,-0.547912750703107,-0.6784508164244121,0.3943888756301469,0.3013302864979991,-0.8217227754016309,-0.9486832980505138,0.9486832980505138,-0.06683035202103522
24,small sport utility vehicle,26,4.0,2.5,4wd,gas,29,mazda,cx-5 4wd,a,2016,5,10.358565737051794,0.6234413965087282,suv_small,four_wheel,8,medium,0,0,0,0,0,1,0,19,7,0,2,0,6,1,0.31203999703719526,0.2584342779923691,-0.7266130964452053,-0.33487569267244005,0.057267551608217344,-0.9486832980505138,0.9486832980505138,-0.0599738153915806
20,midsize car,24,6.0,3.0,awd,gas,29,audi,a7 quattro,a,2016,9,7.9734219269103,0.49916805324459235,medium,all_wheel,8,medium,1,1,0,0,0,1,0,2,2,1,2,0,1,0,-0.17936157310012027,-0.009247177555282664,0.3943888756301469,0.06275304430908452,0.057267551608217344,-0.9486832980505138,0.9486832980505138,-0.06351484278188653
20,midsize car,24,6.0,3.0,awd,gas,29,audi,a6 quattro,a,2016,9,7.9734219269103,0.49916805324459235,medium,all_wheel,8,medium,1,1,0,0,0,1,0,2,2,1,2,0,1,0,-0.17936157310012027,-0.009247177555282664,0.3943888756301469,0.06275304430908452,0.057267551608217344,-0.9486832980505138,0.9486832980505138,-0.06351484278188653
25,small sport utility vehicle,28,4.0,1.8,fwd,gas,33,honda,hr-v 2wd,m,2016,8,15.469613259668508,0.4488778054862843,suv_small,front_wheel,8,medium,0,0,0,0,0,0,1,12,7,2,2,1,6,2,0.43489038957152415,0.5261157335400208,-0.7266130964452053,-0.8915559244465744,0.6432611029481161,-0.9486832980505138,0.9486832980505138,-0.052385862332403256
28,small sport utility vehicle,31,4.0,1.8,fwd,gas,34,honda,hr-v 2wd,a,2016,6,17.12707182320442,0.4488778054862843,suv_small,front_wheel,8,high,0,0,0,0,0,1,0,12,7,2,2,0,6,2,0.8034415671745109,0.9276379168614985,-0.7266130964452053,-0.8915559244465744,0.7897594907830908,-0.9486832980505138,0.9486832980505138,-0.049925169544478815
28,small sport utility vehicle,31,4.0,1.8,fwd,gas,34,honda,hr-v 2wd,a,2016,6,17.12707182320442,0.4488778054862843,suv_small,front_wheel,8,high,0,0,0,0,0,1,0,12,7,2,2,0,6,2,0.8034415671745109,0.9276379168614985,-0.7266130964452053,-0.8915559244465744,0.7897594907830908,-0.9486832980505138,0.9486832980505138,-0.049925169544478815
27,small sport utility vehicle,29,4.0,1.8,awd,gas,32,honda,hr-v 4wd,a,2016,5,16.022099447513813,0.4488778054862843,suv_small,all_wheel,8,medium,0,0,0,0,0,1,0,12,7,1,2,0,6,0,0.6805911746401819,0.6599564613138468,-0.7266130964452053,-0.8915559244465744,0.4967627151131414,-0.9486832980505138,0.9486832980505138,-0.05156563140309511
27,small sport utility vehicle,29,4.0,1.8,awd,gas,32,honda,hr-v 4wd,a,2016,5,16.022099447513813,0.4488778054862843,suv_small,all_wheel,8,medium,0,0,0,0,0,1,0,12,7,1,2,0,6,0,0.6805911746401819,0.6599564613138468,-0.7266130964452053,-0.8915559244465744,0.4967627151131414,-0.9486832980505138,0.9486832980505138,-0.05156563140309511
